OBJECTID,UNIT_NAME,STATEFP,COUNTYFP
349,Fort Sumter National Monument,45,019
350,Fort Union National Monument,35,033
351,Fort Union Trading Post National Historic Site,30,083
352,Fort Union Trading Post National Historic Site,30,085
353,Fort Union Trading Post National Historic Site,38,053
354,Fort Union Trading Post National Historic Site,38,105
355,Fort Vancouver National Historic Site,41,005
356,Fort Vancouver National Historic Site,53,011
357,Fort Washington Park,24,033
358,Fossil Butte National Monument,56,023
359,Franklin Delano Roosevelt Memorial,11,001
360,Frederick Douglass National Historic Site,11,001
361,Frederick Law Olmsted National Historic Site,25,021
362,Fredericksburg,51,630
363,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,51,033
364,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,51,137
365,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,51,177
366,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,51,179
367,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,51,630
368,Friendship Hill National Historic Site,42,051
369,Gates of the Arctic National Park,02,185
370,Gates of the Arctic National Park,02,188
371,Gates of the Arctic National Park,02,290
372,Gates of the Arctic National Preserve,02,185
373,Gates of the Arctic National Preserve,02,188
374,Gates of the Arctic National Preserve,02,290
375,Gateway National Recreation Area,34,025
376,Gateway National Recreation Area,36,047
377,Gateway National Recreation Area,36,081
378,Gateway National Recreation Area,36,085
379,Gauley River National Recreation Area,54,019
380,Gauley River National Recreation Area,54,067
381,George Rogers Clark National Historical Park,18,083
382,George Washington Birthplace National Monument,51,193
383,George Washington Carver National Monument,29,145
384,George Washington Memorial Parkway,11,001
385,George Washington Memorial Parkway,24,031
386,George Washington Memorial Parkway,24,033
387,George Washington Memorial Parkway,51,013
388,George Washington Memorial Parkway,51,059
389,George Washington Memorial Parkway,51,510
390,Gettysburg National Military Park,42,001
391,Gila Cliff Dwellings National Monument,35,003
392,Glacier Bay National Park,02,100
393,Glacier Bay National Park,02,105
394,Glacier Bay National Park,02,282
395,Glacier Bay National Preserve,02,282
396,Glacier National Park,30,029
397,Glacier National Park,30,035
398,Glen Canyon National Recreation Area,04,005
399,Glen Canyon National Recreation Area,49,017
400,Glen Canyon National Recreation Area,49,025
401,Glen Canyon National Recreation Area,49,037
402,Glen Canyon National Recreation Area,49,055
403,Golden Gate National Recreation Area,06,041
404,Golden Gate National Recreation Area,06,075
405,Golden Gate National Recreation Area,06,081
406,Golden Spike National Historic Site,49,003
407,Governors Island National Monument,36,061
408,Grand Canyon National Park,04,005
409,Grand Canyon National Park,04,015
410,Grand Portage National Monument,27,031
411,Grand Teton National Park,56,039
412,Grant-Kohrs Ranch National Historic Site,30,077
413,Great Basin National Park,32,033
414,Great Sand Dunes National Park,08,003
415,Great Sand Dunes National Park,08,109
416,Great Sand Dunes National Preserve,08,003
417,Great Sand Dunes National Preserve,08,027
418,Great Sand Dunes National Preserve,08,055
419,Great Sand Dunes National Preserve,08,109
420,Great Smoky Mountains National Park,37,075
421,Great Smoky Mountains National Park,37,087
422,Great Smoky Mountains National Park,37,173
423,Great Smoky Mountains National Park,47,009
424,Great Smoky Mountains National Park,47,029
425,Great Smoky Mountains National Park,47,155
426,Greenbelt Park,24,033
427,Guadalupe Mountains National Park,48,109
428,Guadalupe Mountains National Park,48,229
429,Guilford Courthouse National Military Park,37,081
430,Gulf Islands National Seashore,12,033
431,Gulf Islands National Seashore,12,091
432,Gulf Islands National Seashore,12,113
433,Gulf Islands National Seashore,28,047
434,Gulf Islands National Seashore,28,059
435,Hagerman Fossil Beds National Monument,16,047
436,Hagerman Fossil Beds National Monument,16,083
437,Haleakala National Park,15,009
438,Hampton National Historic Site,24,005
439,Harpers Ferry National Historical Park,24,021
440,Harpers Ferry National Historical Park,24,043
441,Harpers Ferry National Historical Park,51,107
442,Harpers Ferry National Historical Park,54,037
443,Harriet Tubman Underground Railroad National Historical Park,24,019
444,Harry S Truman National Historic Site,29,095
445,Hawai'i Volcanoes National Park,15,001
446,Herbert Hoover National Historic Site,19,031
447,Hohokam Pima National Monument,04,021
448,Home of Franklin D. Roosevelt National Historic Site,36,027
449,Homestead National Monument,31,067
450,Honouliuli National Monument,15,003
451,Hopewell Culture National Historical Park,39,141
452,Hopewell Furnace National Historic Site,42,011
453,Hopewell Furnace National Historic Site,42,029
454,Horseshoe Bend National Military Park,01,123
455,Hot Springs National Park,05,051
456,Hovenweep National Monument,08,083
457,Hovenweep National Monument,49,037
458,Hubbell Trading Post National Historic Site,04,001
459,Ice Age National Scenic Trail,55,025
460,Illinois and Michigan Canal National Heritage Corridor,17,011
461,Illinois and Michigan Canal National Heritage Corridor,17,031
462,Illinois and Michigan Canal National Heritage Corridor,17,043
463,Illinois and Michigan Canal National Heritage Corridor,17,063
464,Illinois and Michigan Canal National Heritage Corridor,17,099
465,Illinois and Michigan Canal National Heritage Corridor,17,197
466,Independence National Historical Park,42,101
467,Indiana Dunes National Lakeshore,18,089
468,Indiana Dunes National Lakeshore,18,091
469,Indiana Dunes National Lakeshore,18,127
470,Isle Royale National Park,26,083
471,Jean Lafitte National Historical Park and Preserve,22,051
472,Jean Lafitte National Historical Park and Preserve,22,055
